id,img,url,Aperture,Aperture (35mm equiv.),Aperture priority,Auto focus,Batteries,Brand,Built-in flash,Crop factor,Digital zoom,Dimensions,Exposure Compensation,External flash,Flash modes,Focal length (35mm equiv.),ISO,LCD display,LCD resolution,LCD size,Macro focus range,Manual focus,Max. resolution,Max. shutter speed,Megapixels,Metering,Min. resolution,Min. shutter speed,Model,Normal focus range,Optical zoom,Selftimer,Sensor resolution,Sensor size,Sensor type,Shutter priority,Storage types,USB,Viewfinder,Weight,White balance presets,Year
C1,images/cameras/canon_eos_rebel_t3i.png,http://www.digicamdb.com/specs/canon_eos-rebel-t3i/,n/a,n/a,Yes,Yes,Li-Ion,Canon,Yes,1.61,Yes,133.1 x 99.5 x 79.7 mm,-5EV - +5EV with 1/3 or 1/2 step,Yes,"Anti red-eye, Auto, Fill in, Off, Slow flash",n/a,"Auto, 100, 200, 400, 800, 1600, 3200, 6400, (12800 with boost)",Yes,"1,040,000","3""",n/a,Yes,5184 x 3456,1/4000 sec,18.00,"Multi, Center-weighted, Spot, Partial",480 x 480,30 sec,EOS Rebel T3i / 600D,n/a,n/a,Yes,5196 x 3464,22.3 x 14.9 mm,CMOS,Yes,"SDHC, SDXC, Secure Digital",USB 2.0 Hi-Speed,Optical,570 g,6,2011
C2,images/cameras/canon_eos_rebel_t2i.png,http://www.digicamdb.com/specs/canon_eos-rebel-t2i/,n/a,n/a,Yes,Yes,Li-Ion,Canon,Yes,1.61,No,128.8 x 97.5 x 75.3 mm,-5EV - +5EV with 1/3 or 1/2 step,Yes,"Auto, On, Off, Red-eye",n/a,"Auto, 100, 200, 400, 800, 1600, 3200, 6400, 12800 (with boost)",Yes,"1,040,000","3""",n/a,Yes,5184 x 3456,1/4000 sec,18.00,"63-zone Evaluative, Centre weighted, Evaluative, Spot",2592 x 1728,30 sec,EOS Rebel T2i / 550D,n/a,n/a,Yes,5196 x 3464,22.3 x 14.9 mm,CMOS,Yes,"SDHC, SDXC, Secure Digital",USB 2.0 Hi-Speed,Optical,530 g,6,2010
C3,images/cameras/canon_eos_60d.png,http://www.digicamdb.com/specs/canon_eos-60d/,n/a,n/a,Yes,Yes,Lithium-Ion LP-E6 rechargeable battery & charger,Canon,Yes,1.61,No,145 x 106 x 79 mm,-5EV - +5EV with 1/3 or 1/2 step,Yes,"Auto, On, Off, Red-eye",n/a,"Auto, 100, 200, 400, 800, 1600, 3200, 6400, (12800 with boost)",Yes,"1,040,000","3""",n/a,Yes,5184 x 3456,1/8000 sec,18.00,"Centre weighted, Evaluative, Spot",480 x 480,30 sec,EOS 60D,n/a,n/a,Yes,5196 x 3464,22.3 x 14.9 mm,CMOS,Yes,"SDHC, SDXC, Secure Digital",USB 2.0 (480 Mbit/sec),Optical (pentaprism),755 g,6,2010
C4,images/cameras/canon_eos_rebel_4ti.png,http://www.digicamdb.com/specs/canon_eos-rebel-t4i/,n/a,n/a,Yes,Yes,Lithium-Ion LP-E8 rechargeable battery & charger,Canon,Yes,1.61,No,133 x 100 x 79 mm,"±5 EV (at 1/3 EV, 1/2 EV steps)",Yes,"Auto, On, Off, Red-eye",n/a,"Auto, 100, 200, 400, 800, 1600, 3200, 6400, 12800 (25600 with boost)",Yes,"1,040,000","3""",n/a,Yes,5184 x 3456,1/4000 sec,18.00,"Multi, Center-weighted, Spot, Partial",480 x 480,30 sec,EOS Rebel T4i / 650D,n/a,n/a,Yes,5196 x 3464,22.3 x 14.9 mm,CMOS,Yes,SD/SDHC/SDXC,USB 2.0 (480 Mbit/sec),Optical (pentamirror),575 g,6,2012
C5,images/cameras/canon_350D.png,http://www.digicamdb.com/specs/canon_eos-350d/,n/a,n/a,Yes,Yes,Lithium-Ion NB-3L battery & charger,Canon,Yes,1.62,No,126.5x94.2x64 mm,-2EV - +2EV with 1/3EV steps,Yes,"Anti red-eye, Auto, Fill in, Off, Rear curtin, Slow flash",n/a,"Auto, 100, 200, 400, 800, 1600",Yes,"115,000","1.8""",n/a,Yes,3456 x 2304,1/4000 sec,8.00,"Centre weighted, Evaluative, Multi-pattern",1728 x 1152,Bulb+30 sec,EOS 350D,n/a,n/a,Yes,3464 x 2309,22.2 x 14.8 mm,CMOS,Yes,"CompactFlash type I, CompactFlash type II, Microdrive",USB 2.0 (480 Mbit/sec),Optical (pentamirror),540 g,6,2005
C6,images/cameras/nikon_d5100.png,http://www.digicamdb.com/specs/nikon_d5100/,n/a,n/a,Yes,Yes,Lithium-IonEN-EL14 rechargeable battery & charger,Nikon,Yes,1.53,No,128 x 97 x 79 mm,-5EV - +5EV with 1/2 or 1/3EV st,Yes,"Anti red-eye, Auto, Fill in, Off, Rear curtin, Slow flash",n/a,"Auto, 100- 6400 (plus 12800, 25600 with boost)",Yes,"921,000",3,n/a,Yes,4928 x 3264,1/4000 sec,16.20,"Centre weighted, Matrix, Spot",640 x 480,30 sec,D5100,n/a,n/a,Yes,4945 x 3275,23.6 x 15.6 mm,CMOS,Yes,"SDHC, SDXC, Secure Digital",USB 2.0 (480 Mbit/sec),Optical (pentamirror),560 g,12,2011
C7,images/cameras/canon_eos_7d.png,http://www.digicamdb.com/specs/canon_eos-7d/,n/a,n/a,Yes,Yes,Lithium-Ion LP-E6 rechargeable battery & charger,Canon,Yes,1.61,No,148.2 x 110 x 73.5 mm,-5EV - +5EV with 1/3 or 1/2 step,Yes,"Auto, On, Off, Red-eye",n/a,"Auto, 100, 200, 400, 800, 1600, 3200, 6400, (12800 with boost)",Yes,"920,000","3""",n/a,Yes,5184 x 3456,1/8000 sec,18.00,"Centre weighted, Evaluative, Spot, Spot-AF",2592 x 1728,30 sec,EOS 7D,n/a,n/a,Yes,5196 x 3464,22.3 x 14.9 mm,CMOS,Yes,"CompactFlash type I, CompactFlash type II, Microdrive",USB 2.0 (480 Mbit/sec),Optical (pentaprism),860 g,6,2009
C8,images/cameras/canon_powershot_s95.png,http://www.digicamdb.com/specs/canon_powershot-s95/,f2.0 - f4.9,f9.2 - f22.5,Yes,Yes,Lithium-Ion NB-6L rechargeable battery & charger,Canon,Yes,4.6,Yes,100x58x30 mm,-2EV - +2EV with 1/3EV steps,No,"Anti red-eye, Auto, Fill in, Off, Slow flash",28 - 105 mm,"Auto, 80 - 3200",Yes,"461,000","3""",5 cm,Yes,3648 x 2736,1/1600 sec,10.00,"Centre weighted, Evaluative, Spot",480 x 384,15 sec,PowerShot S95,40 cm,3.8x,Yes,3661 x 2732,"1/1.7"" (~ 7.53 x 5.64 mm)",CCD,Yes,"SDHC, SDXC, Secure Digital",USB 2.0 (480 Mbit/sec),None,193g,8,2010
C9,images/cameras/canon_powershot_sx260_hs.png,http://www.digicamdb.com/specs/canon_powershot-sx260-hs/,f3.5 - f6.8,f19.7 - f38.2,Yes,Yes,Lithium-Ion NB-6L rechargeable battery & charger,Canon,Yes,5.62,Yes,105.5x61.0x32.7 mm,-2EV - +2EV with 1/3EV steps,No,"Anti red-eye, Auto, Fill in, Off, Slow flash",25 - 500 mm,"Auto, 100, 200, 400, 800, 1600, 3200",Yes,"461,000","3""",5 cm,No,4000 x 3000,1/3200 sec,12.10,"Centre weighted, Evaluative, Spot",480 x 480,15 sec,PowerShot SX260 HS,45 cm,20x,Yes,4011 x 3016,"1/2.3"" (~ 6.16 x 4.62 mm)",CMOS,Yes,"SDHC, SDXC, Secure Digital",USB 2.0 (480 Mbit/sec),None,231g,7,2012
C10,images/cameras/canon_sd880.png,http://www.digicamdb.com/specs/canon_powershot-sd880-is/,f2.8 - f5.8,f15.7 - f32.6,No,Yes,Lithium-Ion NB-5L battery & charger,Canon,Yes,5.62,Yes,94x57x24 mm,&#177;2 EV (at 1/3 EV steps),No,"Auto, On, Off, Slow, Manual (Red Eye On/Off)",28 - 112 mm,"Auto, 80 ,100, 200, 400, 800, 1600",Yes,"230,000","3""",2 cm,No,3648 x 2736,1/1600 sec,10.00,"Multi, Center-weighted, Spot",3648 x 2048,15 sec,PowerShot SD880 IS,50 cm,4x,Yes,3647 x 2742,"1/2.3"" (~ 6.16 x 4.62 mm)",CCD,No,SD/SDHC/MMC card,USB 2.0 (480 Mbit/sec),None,195g,5,2008
