id,img,url,Auto focus,Brand,Built-in flash,Dimensions,Focal length (35mm equiv.),ISO,LCD display,LCD size,Max. resolution,Megapixels,Model,Optical zoom,Sensor type,Weight,Year
C1,images/cameras/canon_eos_rebel_t3i.png,http://www.digicamdb.com/specs/canon_eos-rebel-t3i/,Yes,Canon,Yes,133.1 x 99.5 x 79.7 mm,n/a,"Auto, 100, 200, 400, 800, 1600, 3200, 6400, (12800 with boost)",Yes,"3""",5184 x 3456,18,EOS Rebel T3i / 600D,n/a,CMOS,570 g,2011
C2,images/cameras/canon_eos_rebel_t2i.png,http://www.digicamdb.com/specs/canon_eos-rebel-t2i/,Yes,Canon,Yes,128.8 x 97.5 x 75.3 mm,n/a,"Auto, 100, 200, 400, 800, 1600, 3200, 6400, 12800 (with boost)",Yes,"3""",5184 x 3456,18,EOS Rebel T2i / 550D,n/a,CMOS,530 g,2010
C3,images/cameras/canon_eos_60d.png,http://www.digicamdb.com/specs/canon_eos-60d/,Yes,Canon,Yes,145 x 106 x 79 mm,n/a,"Auto, 100, 200, 400, 800, 1600, 3200, 6400, (12800 with boost)",Yes,"3""",5184 x 3456,18,EOS 60D,n/a,CMOS,755 g,2010
C4,images/cameras/canon_eos_rebel_4ti.png,http://www.digicamdb.com/specs/canon_eos-rebel-t4i/,Yes,Canon,Yes,133 x 100 x 79 mm,n/a,"Auto, 100, 200, 400, 800, 1600, 3200, 6400, 12800 (25600 with boost)",Yes,"3""",5184 x 3456,18,EOS Rebel T4i / 650D,n/a,CMOS,575 g,2012
C5,images/cameras/canon_350D.png,http://www.digicamdb.com/specs/canon_eos-350d/,Yes,Canon,Yes,126.5x94.2x64 mm,n/a,"Auto, 100, 200, 400, 800, 1600",Yes,"1.8""",3456 x 2304,8,EOS 350D,n/a,CMOS,540 g,2005
C6,images/cameras/nikon_d5100.png,http://www.digicamdb.com/specs/nikon_d5100/,Yes,Nikon,Yes,128 x 97 x 79 mm,n/a,"Auto, 100- 6400 (plus 12800, 25600 with boost)",Yes,3,4928 x 3264,16.2,D5100,n/a,CMOS,560 g,2011
C7,images/cameras/canon_eos_7d.png,http://www.digicamdb.com/specs/canon_eos-7d/,Yes,Canon,Yes,148.2 x 110 x 73.5 mm,n/a,"Auto, 100, 200, 400, 800, 1600, 3200, 6400, (12800 with boost)",Yes,"3""",5184 x 3456,18,EOS 7D,n/a,CMOS,860 g,2009
C8,images/cameras/canon_powershot_s95.png,http://www.digicamdb.com/specs/canon_powershot-s95/,Yes,Canon,Yes,100x58x30 mm,28 - 105 mm,"Auto, 80 - 3200",Yes,"3""",3648 x 2736,10,PowerShot S95,3.8x,CCD,193g,2010
C9,images/cameras/canon_powershot_sx260_hs.png,http://www.digicamdb.com/specs/canon_powershot-sx260-hs/,Yes,Canon,Yes,105.5x61.0x32.7 mm,25 - 500 mm,"Auto, 100, 200, 400, 800, 1600, 3200",Yes,"3""",4000 x 3000,12.1,PowerShot SX260 HS,20x,CMOS,231g,2012
C10,images/cameras/canon_sd880.png,http://www.digicamdb.com/specs/canon_powershot-sd880-is/,Yes,Canon,Yes,94x57x24 mm,28 - 112 mm,"Auto, 80 ,100, 200, 400, 800, 1600",Yes,"3""",3648 x 2736,10,PowerShot SD880 IS,4x,CCD,195g,2008
C11,images/cameras/canon_powershot_a2300.png,http://www.digicamdb.com/specs/canon_powershot-a2300/,Yes,Canon,Yes,94.4x54.2x20.1 mm,28 - 140 mm,"Auto, 100, 200, 400, 800, 1600",Yes,"2.7""",4608 x 3456,16,PowerShot A2300,5x,CCD,125g,2012
C12,images/cameras/canon_elph115.png,http://www.digicamdb.com/specs/canon_powershot-elph-115-is/,Yes,Canon,Yes,92.9 x 52.4 x 21.6 mm,28 - 224 mm,"Auto 100, 200, 400, 800, 1600",Yes,"2.7""",4608 x 3456,16,PowerShot ELPH 115 IS,8x,CCD,133 g,2013
C13,images/cameras/canon_powershot_a570is.png,http://www.digicamdb.com/specs/canon_powershot-a570-is/,Yes,Canon,Yes,90x64x43 mm,35 - 140 mm,"Auto, 80 ,100, 200, 400, 800, 1600",Yes,"2.5""",3072 x 2304,7.1,PowerShot A570 IS,4x,CCD,215g,2007
C14,images/cameras/canon_powershot_a4000_is.png,http://www.digicamdb.com/specs/canon_powershot-a4000-is/,Yes,Canon,Yes,95.3x56.3x24.3 mm,28 - 224 mm,"Auto, 100, 200, 400, 800, 1600",Yes,"3""",4608 x 3456,16,PowerShot A4000 IS,8x,CCD,145g,2012
C15,images/cameras/canon_d10.png,http://www.digicamdb.com/specs/canon_powershot-d10/,Yes,Canon,Yes,103.6x66.9x48.8 mm,35 - 105 mm,"Auto, 80, 100, 200, 400, 800, 1600",Yes,"2,5""",4000 x 3000,12.1,PowerShot D10,3x,CCD,190g,2009
C16,images/cameras/canon_powershot_sd1400is.png,http://www.digicamdb.com/specs/canon_powershot-sd1400-is/,Yes,Canon,Yes,92.2x56.1x17.8 mm,28 - 112 mm,"Auto, 80, 100, 200, 400, 800, 1600",Yes,"2.7""",4320 x 3240,14.1,PowerShot SD1400 IS,4x,CCD,133g,2010
C17,images/cameras/canon_powershot_sd1300is.png,http://www.digicamdb.com/specs/canon_powershot-sd1300-is/,Yes,Canon,Yes,90.5x55.8x21.2 mm,28 - 112 mm,"Auto, 80, 100, 200, 400, 800, 1600",Yes,"2.7""",4000 x 3000,12.1,PowerShot SD1300 IS,4x,CCD,140g,2010
C18,images/cameras/canon_powershot_a1100is.png,http://www.digicamdb.com/specs/canon_powershot-a1100-is/,Yes,Canon,Yes,95.4x62.4x31.0 mm,35 - 140 mm,"Auto, 80, 100, 200, 400, 800, 1600",Yes,"2.5""",4000 x 3000,12.1,Powershot A1100 IS,4x,CCD,155g,2009
C19,images/cameras/canon_eos_30d.png,http://www.digicamdb.com/specs/canon_eos-30d/,Yes,Canon,Yes,144 x 106 x 74 mm,n/a,"100, 200, 400, 800, 1600, 3200 (H)",Yes,"2.5""",3504 x 2336,8.19,EOS 30D,n/a,CMOS,784 g,2006
C20,images/cameras/digitalblue_Disney-Pix-Micro-2.0.jpg,http://www.cnet.com/products/digital-blue-disney-pix-micro-2-0-hannah-montana/specs/,n/a,Digital Blue,n/a,71.0 x 48.0 x 18.0 mm,n/a,n/a,n/a,n/a,n/a,0.3 Megapixel,Disney Pix Micro 2.0 (Hannah Montana),n/a,n/a,43.0 g,n/a
C21,images/cameras/fujifilm_finepix_xp10.png,http://www.digicamdb.com/specs/fujifilm_finepix-xp10/,Yes,Fujifilm,Yes,95.6x63.8x23.2 mm,36 - 180 mm,"Auto, 100, 200, 400, 800, 1600",Yes,"2.7""",4000 x 3000,12.2,FinePix XP10,5x,CCD,135g,2010
